antecedent,consequent,sup_ant,sup_cons,sup_joint,weight_ant,weight_cons,wsup_ant,reg_ant,reg_cons,maxRegW_ant,maxRegW_cons,wNegSup,wNegConf,severity
Increased liver enzymes,Constipation,0.109,0.074,0.0033,0.78,0.32,0.085,56,64,132.0,408.0,0.0264,0.3102,0.1706
Flatulence,Skin rash,0.134,0.0407,0.001,0.18,0.5,0.0241,43,123,492.0,300.0,0.012,0.4963,0.1687
Loss of appetite,Weakness,0.0997,0.0487,0.0073,0.35,0.45,0.0349,53,83,390.0,330.0,0.0145,0.4169,0.1668
Flatulence,Rash,0.134,0.227,0.0043,0.18,0.5,0.0241,43,30,492.0,300.0,0.0117,0.4838,0.1645
Sleepiness,Weakness,0.082,0.0487,0.0123,0.4,0.45,0.0328,59,83,360.0,330.0,0.0125,0.3823,0.1625
Diarrhea,Vomiting,0.7387,0.476,0.395,0.55,0.6,0.4063,7,10,270.0,240.0,0.1134,0.2792,0.1605
Sleepiness,Abnormal liver function tests,0.082,0.055,0.0,0.4,0.4,0.0328,59,104,360.0,360.0,0.0131,0.4,0.16
Dizziness,Stomach pain,0.2347,0.2483,0.083,0.35,0.55,0.0821,52,24,390.0,270.0,0.0292,0.3555,0.16
Indigestion,Weakness,0.1413,0.0487,0.0017,0.26,0.45,0.0367,63,83,444.0,330.0,0.0163,0.4447,0.1579
Allergic reaction,Headache,0.1363,0.3273,0.007,0.8,0.3,0.1091,57,26,120.0,420.0,0.031,0.2846,0.1565
Rash,Abnormal liver function tests,0.227,0.055,0.0343,0.5,0.4,0.1135,30,104,300.0,360.0,0.0385,0.3395,0.1528
Abdominal pain,Loss of appetite,0.1923,0.0997,0.006,0.55,0.35,0.1058,29,53,270.0,390.0,0.0359,0.3391,0.1526
Increased liver enzymes,Dizziness,0.109,0.2347,0.0257,0.78,0.35,0.085,56,52,132.0,390.0,0.0227,0.2676,0.1512
Dizziness,Weakness,0.2347,0.0487,0.0383,0.35,0.45,0.0821,52,83,390.0,330.0,0.0309,0.3765,0.1506
Headache,Weakness,0.3273,0.0487,0.036,0.3,0.45,0.0982,26,83,420.0,330.0,0.0393,0.4005,0.1502
Dizziness,Abnormal liver function tests,0.2347,0.055,0.0,0.35,0.4,0.0821,52,104,390.0,360.0,0.0329,0.4,0.15
Loss of appetite,Abnormal liver function tests,0.0997,0.055,0.0,0.35,0.4,0.0349,53,104,390.0,360.0,0.014,0.4,0.15
Nausea,Abnormal liver function tests,0.7083,0.055,0.0057,0.35,0.4,0.2479,8,104,390.0,360.0,0.0984,0.3968,0.1488
Sleepiness,Insomnia (difficulty in sleeping),0.082,0.0517,0.006,0.4,0.4,0.0328,59,87,360.0,360.0,0.0122,0.3707,0.1483
Rash,Loss of appetite,0.227,0.0997,0.001,0.5,0.35,0.1135,30,53,300.0,390.0,0.0396,0.3485,0.1481
Headache,Stomach pain,0.3273,0.2483,0.1217,0.3,0.55,0.0982,26,24,420.0,270.0,0.0339,0.3456,0.1469
Abdominal pain,Dizziness,0.1923,0.2347,0.0133,0.55,0.35,0.1058,29,52,270.0,390.0,0.0345,0.3257,0.1466
