antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,wsup_ant,wsup_cons,weight_cons,wconf,rule_type
Insomnia (difficulty in sleeping),Headache,0.05683901723505684,0.3564356435643564,0.0484048404840484,0.8516129032258064,2.389247311827957,1.0,0.028145388796305373,4.337064141196727,0.6164993637777463,0.13266331658291458,0.7694292803970223,0.4937076861808044,0.020666666666666667,0.0972,0.3,0.2554838709677419,positive (weighted)
Headache,Nausea,0.3564356435643564,0.7557755775577558,0.2720938760542721,0.7633744855967078,1.0100544503746833,1.0,0.0027085216772502196,1.0321136461472233,0.015467551316607842,0.3238760366652117,0.03111444778111437,0.5616969468255252,0.0972,0.24045,0.35,0.2671810699588477,positive (weighted)
Sleepiness,Headache,0.08984231756508984,0.3564356435643564,0.050238357169050236,0.5591836734693877,1.5688208616780044,1.0,0.018215352888424158,1.4599376604327097,0.39836898663074877,0.12685185185185185,0.31503924646781784,0.3500650877635004,0.03266666666666667,0.0972,0.3,0.1677551020408163,positive (weighted)
Weakness,Headache,0.053171983865053174,0.3564356435643564,0.039603960396039604,0.7448275862068965,2.089655172413793,1.0,0.0206515701075058,2.5220765319775214,0.5507358636715723,0.10703666997026759,0.6035013262599469,0.4279693486590038,0.02175,0.0972,0.3,0.22344827586206895,positive (weighted)
Increased liver enzymes,Nausea,0.11807847451411808,0.7557755775577558,0.06233956729006234,0.5279503105590062,0.6985543410453225,1.0,-0.026901259982984004,0.5173701580684383,-0.32854548022506086,0.07681879801174875,-0.9328521067651506,0.30521727075742644,0.08372,0.24045,0.35,0.18478260869565216,positive (weighted)
Increased liver enzymes,Rash,0.11807847451411808,0.24972497249724973,0.06527319398606528,0.5527950310559007,2.21361534462473,1.0,0.03578605018550994,1.6776983253880946,0.6216543250251116,0.2157575757575758,0.40394528332817253,0.4070876770551163,0.08372,0.1135,0.5,0.27639751552795033,positive (weighted)
Indigestion,Nausea,0.15548221488815547,0.7557755775577558,0.15438210487715437,0.9929245283018867,1.3137822361374307,1.0,0.03687244412009956,34.51705170517011,0.2828109158455922,0.2039728682170542,0.9710288118306983,0.598597150128624,0.03674666666666667,0.24045,0.35,0.3475235849056603,positive (weighted)
Indigestion,Stomach pain,0.15548221488815547,0.2731939860652732,0.12027869453612028,0.7735849056603774,2.831632265417247,1.0,0.07780188848856773,3.2100598948783774,0.765936265528526,0.390011890606421,0.6884793328636979,0.6069266810181082,0.03674666666666667,0.13658333333333333,0.55,0.4254716981132076,positive (weighted)
Insomnia (difficulty in sleeping),Nausea,0.05683901723505684,0.7557755775577558,0.0429042904290429,0.7548387096774193,0.998760388787153,1.0,-5.325064959741527e-05,0.9961785652249431,-0.0013142174432497575,0.05574082896617436,-0.0038360941586752673,0.4058036343146922,0.020666666666666667,0.24045,0.35,0.26419354838709674,positive (weighted)
Insomnia (difficulty in sleeping),Vomiting,0.05683901723505684,0.5236523652365237,0.0319031903190319,0.5612903225806452,1.0718758471130387,1.0,0.0021393045061748536,1.0857924027696886,0.0710972274360486,0.05815508021390374,0.07901363331595013,0.31110734616427216,0.020666666666666667,0.28559999999999997,0.6,0.33677419354838706,positive (weighted)
