antecedent,consequent,sup_ant,sup_cons,sup_joint,neg_conf,reg_ant,reg_cons,weight_ant,weight_cons,severity_proxy
Fatigue,Indigestion,0.056666666666666664,0.14133333333333334,0.0016666666666666668,0.9705882352941178,171,63,0.32,0.26,0.9705882352941178
Abdominal pain,Abnormal liver function tests,0.19233333333333333,0.055,0.005666666666666667,0.9705372616984401,29,104,0.55,0.4,0.9705372616984401
Stomach pain,Increased liver enzymes,0.24833333333333332,0.109,0.007333333333333333,0.9704697986577181,24,56,0.55,0.78,0.9704697986577181
Dryness in mouth,Indigestion,0.08966666666666667,0.14133333333333334,0.0026666666666666666,0.9702602230483272,65,63,0.2,0.26,0.9702602230483272
Loss of appetite,Insomnia (difficulty in sleeping),0.09966666666666667,0.051666666666666666,0.003,0.9698996655518395,53,87,0.35,0.4,0.9698996655518395
Increased liver enzymes,Constipation,0.109,0.074,0.0033333333333333335,0.9694189602446484,56,64,0.78,0.32,0.9694189602446484
Abdominal pain,Loss of appetite,0.19233333333333333,0.09966666666666667,0.006,0.9688041594454072,29,53,0.55,0.35,0.9688041594454072
Dizziness,Allergic reaction,0.23466666666666666,0.13633333333333333,0.007333333333333333,0.96875,52,57,0.35,0.8,0.96875
Constipation,Heartburn,0.074,0.057,0.0023333333333333335,0.9684684684684683,64,120,0.32,0.28,0.9684684684684683
Stomach pain,Constipation,0.24833333333333332,0.074,0.008,0.9677852348993289,24,64,0.55,0.32,0.9677852348993289
Insomnia (difficulty in sleeping),Heartburn,0.051666666666666666,0.057,0.0016666666666666668,0.967741935483871,87,120,0.4,0.28,0.967741935483871
Insomnia (difficulty in sleeping),Flatulence,0.051666666666666666,0.134,0.0016666666666666668,0.967741935483871,87,43,0.4,0.18,0.967741935483871
Itching,Constipation,0.051666666666666666,0.074,0.0016666666666666668,0.967741935483871,109,64,0.28,0.32,0.967741935483871
Rash,Dryness in mouth,0.227,0.08966666666666667,0.007333333333333333,0.9676945668135095,30,65,0.5,0.2,0.9676945668135095
Rash,Sleepiness,0.227,0.082,0.007333333333333333,0.9676945668135095,30,59,0.5,0.4,0.9676945668135095
Flatulence,Rash,0.134,0.227,0.004333333333333333,0.9676616915422886,43,30,0.18,0.5,0.9676616915422886
Indigestion,Abnormal liver function tests,0.14133333333333334,0.055,0.004666666666666667,0.9669811320754716,63,104,0.26,0.4,0.9669811320754716
Allergic reaction,Fatigue,0.13633333333333333,0.056666666666666664,0.004666666666666667,0.9657701711491442,57,171,0.8,0.32,0.9657701711491442
Allergic reaction,Insomnia (difficulty in sleeping),0.13633333333333333,0.051666666666666666,0.004666666666666667,0.9657701711491442,57,87,0.8,0.4,0.9657701711491442
Abdominal pain,Increased liver enzymes,0.19233333333333333,0.109,0.006666666666666667,0.9653379549393415,29,56,0.55,0.78,0.9653379549393415
Indigestion,Increased liver enzymes,0.14133333333333334,0.109,0.005,0.9646226415094339,63,56,0.26,0.78,0.9646226415094339
Diarrhea,Sleepiness,0.7386666666666667,0.082,0.02666666666666667,0.9638989169675091,7,59,0.55,0.4,0.9638989169675091
Sleepiness,Itching,0.082,0.051666666666666666,0.003,0.9634146341463414,59,109,0.4,0.28,0.9634146341463414
Allergic reaction,Dryness in mouth,0.13633333333333333,0.08966666666666667,0.005,0.9633251833740831,57,65,0.8,0.2,0.9633251833740831
Rash,Constipation,0.227,0.074,0.008333333333333333,0.9632892804698973,30,64,0.5,0.32,0.9632892804698973
Headache,Increased liver enzymes,0.3273333333333333,0.109,0.012333333333333333,0.9623217922606926,26,56,0.3,0.78,0.9623217922606926
Abdominal pain,Flatulence,0.19233333333333333,0.134,0.007333333333333333,0.9618717504332756,29,43,0.55,0.18,0.9618717504332756
Diarrhea,Fatigue,0.7386666666666667,0.056666666666666664,0.028333333333333332,0.9616425992779783,7,171,0.55,0.32,0.9616425992779783
Insomnia (difficulty in sleeping),Abdominal pain,0.051666666666666666,0.19233333333333333,0.002,0.9612903225806452,87,29,0.4,0.55,0.9612903225806452
Itching,Dryness in mouth,0.051666666666666666,0.08966666666666667,0.002,0.9612903225806452,109,65,0.28,0.2,0.9612903225806452
Rash,Insomnia (difficulty in sleeping),0.227,0.051666666666666666,0.009,0.9603524229074889,30,87,0.5,0.4,0.9603524229074889
Rash,Fatigue,0.227,0.056666666666666664,0.009,0.9603524229074889,30,171,0.5,0.32,0.9603524229074889
Diarrhea,Insomnia (difficulty in sleeping),0.7386666666666667,0.051666666666666666,0.029333333333333333,0.9602888086642599,7,87,0.55,0.4,0.9602888086642599
Increased liver enzymes,Dryness in mouth,0.109,0.08966666666666667,0.004333333333333333,0.9602446483180429,56,65,0.78,0.2,0.9602446483180429
Increased liver enzymes,Sleepiness,0.109,0.082,0.004333333333333333,0.9602446483180429,56,59,0.78,0.4,0.9602446483180429
Sleepiness,Abdominal pain,0.082,0.19233333333333333,0.0033333333333333335,0.9593495934959351,59,29,0.4,0.55,0.9593495934959351
Heartburn,Increased liver enzymes,0.057,0.109,0.0023333333333333335,0.9590643274853802,120,56,0.28,0.78,0.9590643274853802
Heartburn,Headache,0.057,0.3273333333333333,0.0023333333333333335,0.9590643274853802,120,26,0.28,0.3,0.9590643274853802
Heartburn,Constipation,0.057,0.074,0.0023333333333333335,0.9590643274853802,120,64,0.28,0.32,0.9590643274853802
Fatigue,Loss of appetite,0.056666666666666664,0.09966666666666667,0.0023333333333333335,0.9588235294117647,171,53,0.32,0.35,0.9588235294117647
Abdominal pain,Heartburn,0.19233333333333333,0.057,0.008,0.9584055459272096,29,120,0.55,0.28,0.9584055459272096
Loss of appetite,Itching,0.09966666666666667,0.051666666666666666,0.004333333333333333,0.9565217391304348,53,109,0.35,0.28,0.9565217391304348
Nausea,Fatigue,0.7083333333333334,0.056666666666666664,0.03133333333333333,0.955764705882353,8,171,0.35,0.32,0.955764705882353
Diarrhea,Itching,0.7386666666666667,0.051666666666666666,0.033,0.9553249097472923,7,109,0.55,0.28,0.9553249097472923
Constipation,Allergic reaction,0.074,0.13633333333333333,0.0033333333333333335,0.9549549549549551,64,57,0.32,0.8,0.9549549549549551
Constipation,Increased liver enzymes,0.074,0.109,0.0033333333333333335,0.9549549549549551,64,56,0.32,0.78,0.9549549549549551
Increased liver enzymes,Indigestion,0.109,0.14133333333333334,0.005,0.9541284403669724,56,63,0.78,0.26,0.9541284403669724
Allergic reaction,Sleepiness,0.13633333333333333,0.082,0.006333333333333333,0.9535452322738387,57,59,0.8,0.4,0.9535452322738387
