antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,weight_cons,rule_type
"Diarrhea, Flatulence",Nausea,0.12566666666666668,0.7083333333333334,0.092,0.7320954907161803,1.0335465751287252,1.0,0.002986111111111092,1.0886963696369631,0.03712283202660942,0.12398921832884095,0.08147025388404662,0.4309889218286784,0.35,positive
Flatulence,"Diarrhea, Nausea",0.134,0.5726666666666667,0.092,0.6865671641791045,1.1988949316282382,1.0,0.01526266666666666,1.3633968253968254,0.19156876527094416,0.1496746203904555,0.26653782569213214,0.4236095425086442,0.55,positive
"Diarrhea, Flatulence",Stomach pain,0.12566666666666668,0.24833333333333332,0.10333333333333333,0.8222811671087532,3.311199330639275,1.0,0.07212611111111111,4.2295273631840775,0.7983163823742822,0.3817733990147783,0.7635669628941284,0.6191942748295444,0.55,positive
"Flatulence, Stomach pain",Diarrhea,0.104,0.7386666666666667,0.10333333333333333,0.9935897435897436,1.3451124687586782,1.0,0.026511999999999994,40.76800000000014,0.28634792626728106,0.13976555455365192,0.9754709576138149,0.5667407201703231,0.55,positive
Flatulence,"Diarrhea, Stomach pain",0.134,0.21866666666666668,0.10333333333333333,0.7711442786069651,3.526574444848926,1.0,0.074032,3.414086956521738,0.8272964314981749,0.4144385026737968,0.707095919718812,0.6218526271083606,0.55,positive
"Flatulence, Vomiting",Diarrhea,0.06133333333333333,0.7386666666666667,0.05366666666666667,0.8750000000000001,1.1845667870036103,1.0,0.00836177777777778,2.0906666666666682,0.1659902597402598,0.07190710138454667,0.5216836734693882,0.4738267148014441,0.55,positive
"Headache, Nausea",Diarrhea,0.24733333333333332,0.7386666666666667,0.17566666666666667,0.7102425876010782,0.9615197485574163,1.0,-0.0070302222222222155,0.9019038759689921,-0.05048681894420687,0.21678321678321677,-0.10876560866934386,0.4740292360388062,0.55,positive
"Diarrhea, Headache",Nausea,0.21866666666666668,0.7083333333333334,0.17566666666666667,0.8033536585365854,1.1341463414634145,1.0,0.020777777777777756,1.4832041343669249,0.15138170208081014,0.2338065661047027,0.3257839721254354,0.5256768292682927,0.35,positive
Headache,"Diarrhea, Nausea",0.3273333333333333,0.5726666666666667,0.17566666666666667,0.5366598778004074,0.9371243500589186,1.0,-0.011786222222222198,0.9222886446886448,-0.09069720117445658,0.24252185918085598,-0.08425925631729944,0.42170595752651335,0.55,positive
"Headache, Stomach pain",Diarrhea,0.12166666666666667,0.7386666666666667,0.098,0.8054794520547945,1.0904505217348301,1.0,0.00812888888888888,1.3434741784037558,0.09443777511004392,0.12855268911237427,0.25566116857701987,0.46907546609959944,0.55,positive
